1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
-0.500000 -0.500000 -2.000000
0.500000 0.500000 -2.000000
0.500000 -0.500000 2.000000
0.125000 -0.375000 -0.375000 c_B
0.125000 -0.875000 0.125000 c_A
0.125000 -0.375000 -1.375000 c_B
0.625000 -0.375000 1.125000 c_A
0.125000 -0.375000 -2.375000 c_B
0.625000 -0.375000 0.125000 c_A
0.625000 0.125000 -1.375000 c_B
0.625000 -0.375000 -0.875000 c_A
0.125000 -0.625000 0.375000 c_B
0.125000 -0.125000 -3.125000 c_B
0.125000 -0.625000 -0.625000 c_A
0.125000 -0.125000 -0.125000 c_A
0.625000 -0.125000 0.375000 c_B
0.125000 -0.125000 -1.125000 c_B
0.625000 -0.125000 -0.625000 c_A
0.125000 -0.125000 -2.125000 c_A
0.375000 -0.125000 -2.375000 c_A
0.875000 -0.125000 0.125000 c_B
-0.125000 -0.625000 -1.375000 c_A
0.375000 -0.625000 1.125000 c_A
0.375000 -0.125000 -0.375000 c_B
0.375000 -0.625000 0.125000 c_A
0.375000 -0.125000 -1.375000 c_B
0.375000 -0.625000 -0.875000 c_B
0.375000 0.125000 -1.625000 c_A
0.375000 -0.375000 -1.125000 c_B
-0.125000 -0.375000 -0.625000 c_B
0.375000 -0.375000 -2.125000 c_A
-0.125000 -0.375000 -1.625000 c_A
0.375000 -0.375000 0.875000 c_B
0.375000 0.125000 -0.625000 c_B
0.375000 -0.375000 -0.125000 c_A
-0.000000 -0.500000 -2.000000 b_A
0.500000 -0.500000 0.500000 b_A
0.500000 0.000000 -1.000000 b_A
0.500000 -0.500000 -0.500000 b_A
0.500000 0.000000 -2.000000 b_A
0.500000 -0.500000 -1.500000 b_A
-0.000000 -0.500000 -1.000000 b_A
0.500000 -0.500000 1.500000 b_A
0.250000 -0.750000 -0.250000 b_A
0.250000 -0.250000 0.250000 b_A
0.750000 -0.250000 0.750000 b_A
0.250000 -0.250000 -0.750000 b_A
0.750000 -0.250000 -0.250000 b_A
0.250000 -0.250000 -1.750000 b_A
0.250000 -0.750000 0.750000 b_A
0.250000 -0.250000 -2.750000 b_A
