1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
0.000000 -0.000000 -2.000000
1.000000 -1.000000 -1.000000
-2.000000 -2.000000 0.000000
-0.666667 -1.333333 -1.750000 c_B
-1.666667 -2.333333 -1.750000 c_A
-0.666667 -1.333333 -0.750000 c_A
0.333333 -1.333333 -1.750000 c_A
-1.666667 -2.333333 -0.750000 c_B
-0.666667 -2.333333 -1.750000 c_B
0.333333 -1.333333 -2.750000 c_B
-0.666667 -2.333333 -2.750000 c_A
-1.333333 -1.666666 -0.250000 c_A
-0.333333 -0.666666 -0.250000 c_A
-1.333333 -1.666666 -1.250000 c_B
-0.333333 -1.666666 -2.250000 c_A
-0.333333 -0.666666 -1.250000 c_B
-1.333333 -2.666666 -2.250000 c_A
-0.333333 -1.666666 -1.250000 c_B
-1.333333 -2.666666 -1.250000 c_B
-1.000000 -2.000000 -2.000000 a_A
0.000000 -1.000000 -2.000000 a_A
-1.000000 -2.000000 -1.000000 a_B
0.000000 -2.000000 -2.000000 a_B
0.000000 -1.000000 -1.000000 a_B
-1.000000 -3.000000 -2.000000 a_A
-0.000000 -2.000000 -3.000000 a_A
-1.000000 -3.000000 -3.000000 a_B
-1.000000 -2.000000 -1.500000 a_A
-0.000000 -1.000000 -1.500000 a_A
-1.000000 -2.000000 -2.500000 a_B
-0.000000 -2.000000 -1.500000 a_A
-0.000000 -1.000000 -2.500000 a_B
-1.000000 -3.000000 -1.500000 a_B
-0.000000 -2.000000 -2.500000 a_B
-1.000000 -3.000000 -2.500000 a_A
