1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
-1.000000 1.000000 0.000000
0.000000 0.000000 -2.000000
-2.000000 -2.000000 0.000000
-2.000000 -1.000000 -0.500000 d_B
-2.000000 0.000000 -0.500000 d_B
-1.000000 0.000000 -0.500000 d_A
-3.000000 -1.000000 -0.500000 d_A
-2.000000 -1.000000 -1.500000 d_A
-2.000000 -0.000000 -1.500000 d_B
-1.000000 -0.000000 -1.500000 d_B
-3.000000 -1.000000 -1.500000 d_A
-2.000000 -0.500000 -1.000000 d_B
-1.000000 -0.500000 -1.000000 d_A
-1.000000 0.500000 -1.000000 d_A
-2.000000 -1.500000 -1.000000 d_B
-2.000000 -0.500000 -2.000000 d_B
-1.000000 -0.500000 -2.000000 d_A
-1.000000 0.500000 -2.000000 d_A
-2.000000 -1.500000 -2.000000 d_B
-1.500000 -1.000000 -1.000000 d_B
-1.500000 -0.000000 -1.000000 d_B
-0.500000 -0.000000 -1.000000 d_A
-2.500000 -1.000000 -1.000000 d_A
-1.500000 -1.000000 -2.000000 d_A
-1.500000 -0.000000 -2.000000 d_A
-0.500000 0.000000 -2.000000 d_B
-2.500000 -1.000000 -2.000000 d_B
-1.500000 -0.500000 -0.500000 b_A
-1.500000 0.500000 -0.500000 b_A
-2.500000 -1.500000 -0.500000 b_A
-2.500000 -0.500000 -0.500000 b_A
-1.500000 -0.500000 -1.500000 b_A
-1.500000 0.500000 -1.500000 b_A
-2.500000 -1.500000 -1.500000 b_A
-2.500000 -0.500000 -1.500000 b_A
-2.000000 -1.000000 -1.000000 a_A
-2.000000 0.000000 -1.000000 a_A
-1.000000 0.000000 -1.000000 a_A
-3.000000 -1.000000 -1.000000 a_A
-2.000000 -1.000000 -2.000000 a_A
-2.000000 0.000000 -2.000000 a_A
-1.000000 0.000000 -2.000000 a_A
-3.000000 -1.000000 -2.000000 a_A
